participantId,device,datasetId,isTrue,answerId,focusTime
13,Comp,1,True,1,15.083120346069336
13,Comp,1,True,2,6.349893093109131
13,Comp,1,True,3,7.566511631011963
13,Comp,1,True,4,0.0
13,Comp,1,True,5,6.783242225646973
13,Comp,1,True,6,26.382707595825195
13,Comp,1,True,7,4.216589450836182
13,Comp,1,False,1,16.53307342529297
13,Comp,1,False,2,7.4165239334106445
13,Comp,1,False,3,14.34982681274414
13,Comp,1,False,4,8.066502571105957
13,Comp,1,False,5,13.416476249694824
13,Comp,1,False,6,4.71659517288208
13,Comp,1,False,7,4.3665971755981445
10,Comp,2,True,1,5.883207321166992
10,Comp,2,True,2,6.383242130279541
10,Comp,2,True,3,0.0
10,Comp,2,True,4,2.5499539375305176
10,Comp,2,True,5,0.0
10,Comp,2,True,6,4.199927806854248
10,Comp,2,True,7,7.349881649017334
10,Comp,2,False,1,4.799930095672607
10,Comp,2,False,2,2.4833130836486816
10,Comp,2,False,3,4.066577911376953
10,Comp,2,False,4,3.1999220848083496
10,Comp,2,False,5,0.0
10,Comp,2,False,6,0.0
10,Comp,2,False,7,3.3832621574401855
7,Comp,2,True,1,4.0499162673950195
7,Comp,2,True,2,5.783239841461182
7,Comp,2,True,3,0.0
7,Comp,2,True,4,0.0
7,Comp,2,True,5,2.7165987491607666
7,Comp,2,True,6,4.4665679931640625
7,Comp,2,True,7,0.0
7,Comp,2,False,1,0.0
7,Comp,2,False,2,3.833280086517334
7,Comp,2,False,3,4.616592884063721
7,Comp,2,False,4,7.983212947845459
7,Comp,2,False,5,3.466609239578247
7,Comp,2,False,6,1.4833027124404907
7,Comp,2,False,7,0.0
7,Comp,1,True,1,4.79994010925293
7,Comp,1,True,2,10.866510391235352
7,Comp,1,True,3,18.999622344970703
7,Comp,1,True,4,6.166555404663086
7,Comp,1,True,5,11.88316535949707
7,Comp,1,True,6,0.0
7,Comp,1,True,7,13.099799156188965
7,Comp,1,False,1,9.783247947692871
7,Comp,1,False,2,2.3332760334014893
7,Comp,1,False,3,3.8499345779418945
7,Comp,1,False,4,5.966565132141113
7,Comp,1,False,5,6.999866008758545
7,Comp,1,False,6,6.399872779846191
7,Comp,1,False,7,10.233183860778809
12,Comp,2,True,1,13.049825668334961
12,Comp,2,True,2,0.0
12,Comp,2,True,3,8.3331880569458
12,Comp,2,True,4,6.166566371917725
12,Comp,2,True,5,0.0
12,Comp,2,True,6,0.0
12,Comp,2,True,7,8.199859619140625
12,Comp,2,False,1,0.0
12,Comp,2,False,2,0.0
12,Comp,2,False,3,9.13318920135498
12,Comp,2,False,4,0.0
12,Comp,2,False,5,0.0
12,Comp,2,False,6,7.166551113128662
12,Comp,2,False,7,0.0
12,Comp,1,True,1,8.383220672607422
12,Comp,1,True,2,6.29989767074585
12,Comp,1,True,3,3.5499324798583984
12,Comp,1,True,4,8.083209991455078
12,Comp,1,True,5,0.0
12,Comp,1,True,6,5.683228492736816
12,Comp,1,True,7,6.766536712646484
12,Comp,1,False,1,0.0
12,Comp,1,False,2,0.0
12,Comp,1,False,3,4.016589164733887
12,Comp,1,False,4,9.333186149597168
12,Comp,1,False,5,0.0
12,Comp,1,False,6,6.483212471008301
12,Comp,1,False,7,0.0
8,Comp,2,True,1,2.916597604751587
8,Comp,2,True,2,16.816387176513672
8,Comp,2,True,3,4.816583633422852
8,Comp,2,True,4,14.93309497833252
8,Comp,2,True,5,17.666385650634766
8,Comp,2,True,6,19.61629867553711
8,Comp,2,True,7,16.16643524169922
8,Comp,2,False,1,6.033243179321289
8,Comp,2,False,2,6.049890995025635
8,Comp,2,False,3,13.983126640319824
8,Comp,2,False,4,5.533230781555176
8,Comp,2,False,5,0.0
8,Comp,2,False,6,5.199914455413818
8,Comp,2,False,7,0.0
8,Comp,1,True,1,21.732872009277344
8,Comp,1,True,2,0.0
8,Comp,1,True,3,0.0
8,Comp,1,True,4,5.399911403656006
8,Comp,1,True,5,0.0
8,Comp,1,True,6,10.033161163330078
8,Comp,1,True,7,15.449764251708984
8,Comp,1,False,1,0.0
8,Comp,1,False,2,8.24987506866455
8,Comp,1,False,3,10.483172416687012
8,Comp,1,False,4,8.433216094970703
8,Comp,1,False,5,6.533231735229492
8,Comp,1,False,6,4.283256530761719
8,Comp,1,False,7,0.0
3,Comp,1,True,1,8.883177757263184
3,Comp,1,True,2,8.2665433883667
3,Comp,1,True,3,6.499912738800049
3,Comp,1,True,4,5.599903583526611
3,Comp,1,True,5,17.616416931152344
3,Comp,1,True,6,17.533037185668945
3,Comp,1,True,7,14.61645221710205
3,Comp,1,False,1,7.449883937835693
3,Comp,1,False,2,14.683127403259277
3,Comp,1,False,3,11.766519546508789
3,Comp,1,False,4,7.549861431121826
3,Comp,1,False,5,7.616541862487793
3,Comp,1,False,6,0.0
3,Comp,1,False,7,7.533216953277588
3,Comp,2,True,1,5.3332200050354
3,Comp,2,True,2,17.03310203552246
3,Comp,2,True,3,23.116199493408203
3,Comp,2,True,4,15.483119010925293
3,Comp,2,True,5,21.132966995239258
3,Comp,2,True,6,7.949894428253174
3,Comp,2,True,7,17.233057022094727
3,Comp,2,False,1,9.483195304870605
3,Comp,2,False,2,11.649846076965332
3,Comp,2,False,3,5.383240222930908
3,Comp,2,False,4,26.16607666015625
3,Comp,2,False,5,10.999799728393555
3,Comp,2,False,6,16.99972152709961
3,Comp,2,False,7,15.033138275146484
11,Comp,1,True,1,7.616520404815674
11,Comp,1,True,2,2.616600513458252
11,Comp,1,True,3,8.499849319458008
11,Comp,1,True,4,2.4166438579559326
11,Comp,1,True,5,3.133286714553833
11,Comp,1,True,6,8.299856185913086
11,Comp,1,True,7,2.0666329860687256
11,Comp,1,False,1,2.4166419506073
11,Comp,1,False,2,10.5831298828125
11,Comp,1,False,3,8.116564750671387
11,Comp,1,False,4,2.066646099090576
11,Comp,1,False,5,1.7166486978530884
11,Comp,1,False,6,3.8832502365112305
11,Comp,1,False,7,3.3999197483062744
19,Comp,2,True,1,5.6832380294799805
19,Comp,2,True,2,12.466469764709473
19,Comp,2,True,3,13.049788475036621
19,Comp,2,True,4,6.316580295562744
19,Comp,2,True,5,7.083221912384033
19,Comp,2,True,6,7.883213043212891
19,Comp,2,True,7,5.449923515319824
19,Comp,2,False,1,4.349907875061035
19,Comp,2,False,2,6.199906349182129
19,Comp,2,False,3,10.199833869934082
19,Comp,2,False,4,5.8832292556762695
19,Comp,2,False,5,6.049896240234375
19,Comp,2,False,6,5.799919128417969
19,Comp,2,False,7,10.033167839050293
19,Comp,1,True,1,21.432897567749023
19,Comp,1,True,2,13.433140754699707
19,Comp,1,True,3,22.766212463378906
19,Comp,1,True,4,7.6498703956604
19,Comp,1,True,5,32.81590270996094
19,Comp,1,True,6,34.9658088684082
19,Comp,1,True,7,6.799901962280273
19,Comp,1,False,1,6.216573715209961
19,Comp,1,False,2,10.116509437561035
19,Comp,1,False,3,16.616378784179688
19,Comp,1,False,4,17.699691772460938
19,Comp,1,False,5,9.249865531921387
19,Comp,1,False,6,4.199926376342773
19,Comp,1,False,7,21.49957275390625
18,Comp,2,True,1,4.483226776123047
18,Comp,2,True,2,4.183239459991455
18,Comp,2,True,3,0.0
18,Comp,2,True,4,10.466512680053711
18,Comp,2,True,5,7.0165534019470215
18,Comp,2,True,6,8.69985294342041
18,Comp,2,True,7,3.033284902572632
18,Comp,2,False,1,14.516472816467285
18,Comp,2,False,2,15.783117294311523
18,Comp,2,False,3,5.133261680603027
18,Comp,2,False,4,7.7331953048706055
18,Comp,2,False,5,13.649805068969727
18,Comp,2,False,6,0.0
18,Comp,2,False,7,0.0
18,Comp,1,True,1,5.533252239227295
18,Comp,1,True,2,5.083251476287842
18,Comp,1,True,3,11.549834251403809
18,Comp,1,True,4,11.616518020629883
18,Comp,1,True,5,7.433213710784912
18,Comp,1,True,6,9.366501808166504
18,Comp,1,True,7,4.833239555358887
18,Comp,1,False,1,4.966549873352051
18,Comp,1,False,2,4.083248138427734
18,Comp,1,False,3,9.966530799865723
18,Comp,1,False,4,5.616578578948975
18,Comp,1,False,5,2.6166229248046875
18,Comp,1,False,6,0.0
18,Comp,1,False,7,9.03322982788086
22,Comp,1,True,1,0.0
22,Comp,1,True,2,6.099884986877441
