participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
3,Comp,1,177.35540771484375,305.63104248046875,2022-04-28 18:38:30,3,5,0.7142857142857143,1,1,1,0.5306122448979592,5
3,Comp,2,222.79917907714844,331.4871826171875,2022-04-28 18:50:50,4,3,0.42857142857142855,1,1,1,0.22448979591836735,7
11,VR,1,19.21158218383789,123.57698059082033,2022-04-29 09:43:00,3,5,0.7142857142857143,1,1,1,0.42857142857142855,5
11,VR,2,6.309080123901367,127.18001556396484,2022-04-29 09:48:29,4,4,0.5714285714285714,1,1,1,0.2857142857142857,7
19,VR,1,95.69879913330078,363.77935791015625,2022-04-29 10:54:48,1,5,0.7142857142857143,1,1,1,0.3877551020408163,6
19,VR,2,598.315185546875,668.5194702148438,2022-04-29 11:20:30,2,5,0.7142857142857143,1,1,1,0.6122448979591837,5
19,Comp,2,47.6493034362793,226.282958984375,2022-04-29 11:32:25,3,4,0.5714285714285714,1,1,1,0.4489795918367347,6
19,Comp,1,172.60499572753906,469.7914123535156,2022-04-29 11:46:13,4,3,0.42857142857142855,2,2,2,0.40816326530612246,5
18,Comp,2,37.182525634765625,253.37913513183597,2022-04-29 14:14:52,1,4,0.5714285714285714,1,1,2,0.42857142857142855,7
18,Comp,1,73.48220825195312,199.2198638916016,2022-04-29 14:22:32,2,3,0.42857142857142855,2,2,2,0.16326530612244897,7
18,VR,1,95.15509033203124,288.4909973144531,2022-04-29 14:43:27,3,2,0.2857142857142857,1,1,2,0.20408163265306123,6
18,VR,2,150.77207946777344,254.86431884765625,2022-04-29 14:53:31,4,4,0.5714285714285714,1,1,1,0.4897959183673469,5
22,VR,2,36.48367691040039,210.80841064453125,2022-04-29 15:34:56,1,3,0.42857142857142855,1,2,1,0.32653061224489793,7
22,VR,1,11.094990730285645,147.77842712402344,2022-04-29 15:40:51,2,5,0.7142857142857143,1,1,1,0.5306122448979592,6
22,Comp,1,3.599944591522217,186.58941650390625,2022-04-29 15:51:01,3,4,0.5714285714285714,1,1,2,0.3673469387755102,7
22,Comp,2,2.1499621868133545,214.1187286376953,2022-04-29 15:57:44,4,3,0.42857142857142855,1,1,1,0.2857142857142857,6
2,VR,2,14.771275520324709,146.33839416503906,2022-04-29 17:06:31,1,1,0.14285714285714285,1,1,1,0.08163265306122448,7
2,VR,1,14.461515426635742,222.80941772460935,2022-04-29 17:13:40,2,6,0.8571428571428571,4,4,1,0.8367346938775511,2
2,Comp,2,3.333271741867065,103.00021362304688,2022-04-29 17:31:08,4,4,0.5714285714285714,1,1,1,0.3877551020408163,7
5,Comp,2,5.716557502746582,204.8711700439453,2022-04-29 17:58:06,1,3,0.42857142857142855,1,1,1,0.30612244897959184,6
5,VR,1,8.463335990905762,200.4463806152344,2022-04-29 18:25:23,3,3,0.42857142857142855,1,1,2,0.3673469387755102,5
5,VR,2,6.420124530792236,170.47137451171875,2022-04-29 18:31:46,4,3,0.42857142857142855,1,1,2,0.20408163265306123,6
1,VR,2,51.83196258544922,341.9176940917969,2022-04-30 11:08:04,1,3,0.42857142857142855,1,1,1,0.30612244897959184,6
1,VR,1,171.4748077392578,272.1263732910156,2022-04-30 11:19:11,2,5,0.7142857142857143,1,1,2,0.5102040816326531,6
1,Comp,1,136.07763671875,164.4778289794922,2022-04-30 11:31:43,3,5,0.7142857142857143,1,1,1,0.6122448979591837,5
1,Comp,2,122.4959487915039,149.52940368652344,2022-04-30 11:39:20,4,4,0.5714285714285714,1,1,1,0.5102040816326531,5
