participantId,device,datasetId,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
19,VR,2,5,0.7142857142857143,1,1,1,0.6122448979591837,5
19,Comp,2,4,0.5714285714285714,1,1,1,0.4489795918367347,6
19,Comp,1,3,0.42857142857142855,2,2,2,0.40816326530612246,5
18,Comp,2,4,0.5714285714285714,1,1,2,0.42857142857142855,7
18,Comp,1,3,0.42857142857142855,2,2,2,0.16326530612244897,7
18,VR,1,2,0.2857142857142857,1,1,2,0.20408163265306123,6
18,VR,2,4,0.5714285714285714,1,1,1,0.4897959183673469,5
22,VR,2,3,0.42857142857142855,1,2,1,0.32653061224489793,7
22,VR,1,5,0.7142857142857143,1,1,1,0.5306122448979592,6
22,Comp,1,4,0.5714285714285714,1,1,2,0.3673469387755102,7
22,Comp,2,3,0.42857142857142855,1,1,1,0.2857142857142857,6
2,VR,2,1,0.14285714285714285,1,1,1,0.08163265306122448,7
2,VR,1,6,0.8571428571428571,4,4,1,0.8367346938775511,2
2,Comp,2,4,0.5714285714285714,1,1,1,0.3877551020408163,7
5,Comp,2,3,0.42857142857142855,1,1,1,0.30612244897959184,6
5,VR,1,3,0.42857142857142855,1,1,2,0.3673469387755102,5
5,VR,2,3,0.42857142857142855,1,1,2,0.20408163265306123,6
1,VR,2,3,0.42857142857142855,1,1,1,0.30612244897959184,6
1,VR,1,5,0.7142857142857143,1,1,2,0.5102040816326531,6
1,Comp,1,5,0.7142857142857143,1,1,1,0.6122448979591837,5
1,Comp,2,4,0.5714285714285714,1,1,1,0.5102040816326531,5
9,Comp,1,3,0.42857142857142855,1,1,2,0.30612244897959184,7
9,Comp,2,2,0.2857142857142857,1,1,2,0.22448979591836735,7
9,VR,2,3,0.42857142857142855,1,1,1,0.20408163265306123,7
9,VR,1,5,0.7142857142857143,1,1,1,0.4897959183673469,5
14,Comp,2,3,0.42857142857142855,1,1,1,0.24489795918367346,7
14,VR,2,2,0.2857142857142857,1,1,1,0.10204081632653061,7
6,Comp,2,4,0.5714285714285714,1,1,1,0.42857142857142855,5
6,Comp,1,4,0.5714285714285714,1,1,2,0.42857142857142855,5
6,VR,2,3,0.42857142857142855,1,1,2,0.14285714285714285,7
6,VR,1,2,0.2857142857142857,1,1,1,0.2653061224489796,6
17,VR,2,3,0.42857142857142855,1,1,1,0.2653061224489796,6
17,VR,1,2,0.2857142857142857,1,2,1,0.20408163265306123,6
11,Comp,2,3,0.42857142857142855,1,1,2,0.2653061224489796,6
17,Comp,1,3,0.42857142857142855,1,1,1,0.3469387755102041,6
